item_id,datetime,date,platform,constellation,mgrs_tile,eo_cloud_cover,processing_baseline,collection,date_range_filter,cloud_filter
S2C_MSIL2A_20250603T142731_R053_T19KGQ_20250603T194013,2025-06-03T14:27:31.025000Z,2025-06-03,Sentinel-2C,Sentinel 2,19KGQ,17.226343,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250605T142811_R053_T19KGQ_20250605T210913,2025-06-05T14:28:11.024000Z,2025-06-05,Sentinel-2A,Sentinel 2,19KGQ,0.153477,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250605T142811_R053_T19KGP_20250605T210913,2025-06-05T14:28:11.024000Z,2025-06-05,Sentinel-2A,Sentinel 2,19KGP,0.242289,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250608T142709_R053_T19KGQ_20250608T180623,2025-06-08T14:27:09.024000Z,2025-06-08,Sentinel-2B,Sentinel 2,19KGQ,0.061957,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250608T142709_R053_T19KGP_20250608T180623,2025-06-08T14:27:09.024000Z,2025-06-08,Sentinel-2B,Sentinel 2,19KGP,0.124018,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250613T142731_R053_T19KGQ_20250613T193516,2025-06-13T14:27:31.025000Z,2025-06-13,Sentinel-2C,Sentinel 2,19KGQ,0.091128,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250613T142731_R053_T19KGP_20250613T193516,2025-06-13T14:27:31.025000Z,2025-06-13,Sentinel-2C,Sentinel 2,19KGP,0.457085,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250618T142709_R053_T19KGQ_20250618T181314,2025-06-18T14:27:09.024000Z,2025-06-18,Sentinel-2B,Sentinel 2,19KGQ,0.089349,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250618T142709_R053_T19KGP_20250618T181314,2025-06-18T14:27:09.024000Z,2025-06-18,Sentinel-2B,Sentinel 2,19KGP,5.602549,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250623T142731_R053_T19KGQ_20250623T212416,2025-06-23T14:27:31.025000Z,2025-06-23,Sentinel-2C,Sentinel 2,19KGQ,0.164774,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250623T142731_R053_T19KGP_20250623T212416,2025-06-23T14:27:31.025000Z,2025-06-23,Sentinel-2C,Sentinel 2,19KGP,0.426468,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250625T142811_R053_T19KGQ_20250625T230118,2025-06-25T14:28:11.024000Z,2025-06-25,Sentinel-2A,Sentinel 2,19KGQ,8.055106,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250625T142811_R053_T19KGP_20250625T230118,2025-06-25T14:28:11.024000Z,2025-06-25,Sentinel-2A,Sentinel 2,19KGP,9.153298,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250703T142811_R053_T19KGQ_20250703T194403,2025-07-03T14:28:11.025000Z,2025-07-03,Sentinel-2C,Sentinel 2,19KGQ,0.128371,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250703T142811_R053_T19KGP_20250703T194403,2025-07-03T14:28:11.025000Z,2025-07-03,Sentinel-2C,Sentinel 2,19KGP,0.459989,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250708T142719_R053_T19KGQ_20250708T181310,2025-07-08T14:27:19.024000Z,2025-07-08,Sentinel-2B,Sentinel 2,19KGQ,0.260218,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250708T142719_R053_T19KGP_20250708T181310,2025-07-08T14:27:19.024000Z,2025-07-08,Sentinel-2B,Sentinel 2,19KGP,0.415364,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250713T142811_R053_T19KGQ_20250713T195215,2025-07-13T14:28:11.025000Z,2025-07-13,Sentinel-2C,Sentinel 2,19KGQ,0.475745,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250713T142811_R053_T19KGP_20250713T195215,2025-07-13T14:28:11.025000Z,2025-07-13,Sentinel-2C,Sentinel 2,19KGP,4.889214,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250715T142811_R053_T19KGQ_20250715T211004,2025-07-15T14:28:11.024000Z,2025-07-15,Sentinel-2A,Sentinel 2,19KGQ,0.085066,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250715T142811_R053_T19KGP_20250715T224813,2025-07-15T14:28:11.024000Z,2025-07-15,Sentinel-2A,Sentinel 2,19KGP,0.249308,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250715T142811_R053_T19KGP_20250715T211004,2025-07-15T14:28:11.024000Z,2025-07-15,Sentinel-2A,Sentinel 2,19KGP,0.67038,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250718T142719_R053_T19KGQ_20250718T180351,2025-07-18T14:27:19.024000Z,2025-07-18,Sentinel-2B,Sentinel 2,19KGQ,0.102223,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250718T142719_R053_T19KGP_20250718T180351,2025-07-18T14:27:19.024000Z,2025-07-18,Sentinel-2B,Sentinel 2,19KGP,0.375141,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250723T142811_R053_T19KGQ_20250723T193615,2025-07-23T14:28:11.025000Z,2025-07-23,Sentinel-2C,Sentinel 2,19KGQ,2.43471,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250723T142811_R053_T19KGP_20250723T193615,2025-07-23T14:28:11.025000Z,2025-07-23,Sentinel-2C,Sentinel 2,19KGP,7.157508,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250728T142719_R053_T19KGQ_20250728T181950,2025-07-28T14:27:19.024000Z,2025-07-28,Sentinel-2B,Sentinel 2,19KGQ,0.084976,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250728T142719_R053_T19KGP_20250728T181950,2025-07-28T14:27:19.024000Z,2025-07-28,Sentinel-2B,Sentinel 2,19KGP,0.253071,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250802T142811_R053_T19KGQ_20250802T193215,2025-08-02T14:28:11.025000Z,2025-08-02,Sentinel-2C,Sentinel 2,19KGQ,2.329657,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250802T142811_R053_T19KGP_20250802T193215,2025-08-02T14:28:11.025000Z,2025-08-02,Sentinel-2C,Sentinel 2,19KGP,3.430443,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250804T142811_R053_T19KGQ_20250804T211614,2025-08-04T14:28:11.024000Z,2025-08-04,Sentinel-2A,Sentinel 2,19KGQ,0.066344,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250804T142811_R053_T19KGP_20250804T211614,2025-08-04T14:28:11.024000Z,2025-08-04,Sentinel-2A,Sentinel 2,19KGP,0.281801,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250807T142719_R053_T19KGQ_20250807T181514,2025-08-07T14:27:19.024000Z,2025-08-07,Sentinel-2B,Sentinel 2,19KGQ,1.041367,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250807T142719_R053_T19KGP_20250807T181514,2025-08-07T14:27:19.024000Z,2025-08-07,Sentinel-2B,Sentinel 2,19KGP,3.433476,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250812T142731_R053_T19KGQ_20250812T185813,2025-08-12T14:27:31.025000Z,2025-08-12,Sentinel-2C,Sentinel 2,19KGQ,0.258824,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250812T142731_R053_T19KGP_20250812T185813,2025-08-12T14:27:31.025000Z,2025-08-12,Sentinel-2C,Sentinel 2,19KGP,0.332959,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250817T142719_R053_T19KGQ_20250817T180141,2025-08-17T14:27:19.024000Z,2025-08-17,Sentinel-2B,Sentinel 2,19KGQ,1.115613,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250817T142719_R053_T19KGP_20250817T180141,2025-08-17T14:27:19.024000Z,2025-08-17,Sentinel-2B,Sentinel 2,19KGP,2.113527,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250822T142811_R053_T19KGQ_20250822T195717,2025-08-22T14:28:11.025000Z,2025-08-22,Sentinel-2C,Sentinel 2,19KGQ,0.46101,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250822T142811_R053_T19KGP_20250822T195717,2025-08-22T14:28:11.025000Z,2025-08-22,Sentinel-2C,Sentinel 2,19KGP,1.124701,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250824T142811_R053_T19KGQ_20250824T211615,2025-08-24T14:28:11.024000Z,2025-08-24,Sentinel-2A,Sentinel 2,19KGQ,3.306824,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250824T142811_R053_T19KGP_20250824T211615,2025-08-24T14:28:11.024000Z,2025-08-24,Sentinel-2A,Sentinel 2,19KGP,7.756878,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250827T142719_R053_T19KGQ_20250827T180708,2025-08-27T14:27:19.024000Z,2025-08-27,Sentinel-2B,Sentinel 2,19KGQ,0.034071,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250827T142719_R053_T19KGP_20250827T180708,2025-08-27T14:27:19.024000Z,2025-08-27,Sentinel-2B,Sentinel 2,19KGP,0.800581,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250901T142811_R053_T19KGQ_20250901T195406,2025-09-01T14:28:11.025000Z,2025-09-01,Sentinel-2C,Sentinel 2,19KGQ,4.144124,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250901T142811_R053_T19KGP_20250901T195406,2025-09-01T14:28:11.025000Z,2025-09-01,Sentinel-2C,Sentinel 2,19KGP,18.360303,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250906T142709_R053_T19KGQ_20250906T181446,2025-09-06T14:27:09.024000Z,2025-09-06,Sentinel-2B,Sentinel 2,19KGQ,18.123782,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250911T142731_R053_T19KGQ_20250911T174156,2025-09-11T14:27:31.025000Z,2025-09-11,Sentinel-2C,Sentinel 2,19KGQ,0.760296,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250911T142731_R053_T19KGP_20250911T174156,2025-09-11T14:27:31.025000Z,2025-09-11,Sentinel-2C,Sentinel 2,19KGP,1.441482,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2A_MSIL2A_20250913T142801_R053_T19KGP_20250913T211118,2025-09-13T14:28:01.024000Z,2025-09-13,Sentinel-2A,Sentinel 2,19KGP,9.493721,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250916T142709_R053_T19KGP_20250916T195419,2025-09-16T14:27:09.024000Z,2025-09-16,Sentinel-2B,Sentinel 2,19KGP,0.151914,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250916T142709_R053_T19KGQ_20250916T195419,2025-09-16T14:27:09.024000Z,2025-09-16,Sentinel-2B,Sentinel 2,19KGQ,2.933132,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250921T142731_R053_T19KGQ_20250921T193415,2025-09-21T14:27:31.025000Z,2025-09-21,Sentinel-2C,Sentinel 2,19KGQ,0.035975,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2C_MSIL2A_20250921T142731_R053_T19KGP_20250921T193415,2025-09-21T14:27:31.025000Z,2025-09-21,Sentinel-2C,Sentinel 2,19KGP,0.251582,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250926T142709_R053_T19KGP_20250926T181506,2025-09-26T14:27:09.024000Z,2025-09-26,Sentinel-2B,Sentinel 2,19KGP,6.485904,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
S2B_MSIL2A_20250926T142709_R053_T19KGQ_20250926T181506,2025-09-26T14:27:09.024000Z,2025-09-26,Sentinel-2B,Sentinel 2,19KGQ,8.807147,05.11,sentinel-2-l2a,2025-06-01/2025-09-30,20
